epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,78.4687,0.68254,1.63789,1.63329,1.16658,0.86378,0.85069,0.9257,0.69407,0.86378,0.85069,0.9257,0.61047,0.96602,1.19258,1.15257,1.41759,0.0001733,0.0001733,0.0001733
68,79.8901,0.72305,1.77325,1.64329,1.18025,0.87179,0.85069,0.93022,0.69681,0.87179,0.85069,0.93022,0.61955,0.96613,1.18122,1.14043,1.41553,0.00016835,0.00016835,0.00016835
69,81.0329,0.69443,1.75147,1.62113,1.16216,0.85416,0.88194,0.92816,0.69343,0.85416,0.88194,0.92816,0.60117,0.96463,1.17083,1.13285,1.41758,0.0001634,0.0001634,0.0001634
70,82.2461,0.69557,1.67487,1.54707,1.16073,0.84102,0.88606,0.9174,0.68678,0.84102,0.88606,0.93066,0.60501,0.96761,1.17025,1.13071,1.41762,0.00015845,0.00015845,0.00015845
71,83.6415,0.71262,1.65949,1.56987,1.14397,0.84102,0.88606,0.9174,0.68678,0.84102,0.88606,0.93066,0.60501,0.96761,1.17025,1.13071,1.41762,0.0001535,0.0001535,0.0001535
72,84.9493,0.67027,1.70972,1.57423,1.13832,0.86604,0.90546,0.92213,0.69107,0.86604,0.90546,0.93291,0.60996,0.97098,1.16974,1.12499,1.42147,0.00014855,0.00014855,0.00014855
73,86.2883,0.68155,1.75013,1.55061,1.12792,0.86659,0.90723,0.92333,0.69245,0.86659,0.90723,0.93341,0.61181,0.9739,1.17059,1.1235,1.42513,0.0001436,0.0001436,0.0001436
74,87.5576,0.71353,1.72422,1.66872,1.18586,0.86726,0.90996,0.93323,0.68761,0.86726,0.90996,0.93323,0.60508,0.9743,1.1584,1.12478,1.42015,0.00013865,0.00013865,0.00013865
75,88.8657,0.6781,1.7046,1.545,1.14661,0.90012,0.8709,0.9387,0.6838,0.90012,0.8709,0.92298,0.5945,0.96674,1.16267,1.12713,1.41762,0.0001337,0.0001337,0.0001337
76,90.0564,0.70886,1.64321,1.58389,1.17154,0.90096,0.86355,0.93052,0.6983,0.90096,0.86355,0.91976,0.61001,0.9596,1.15534,1.12221,1.40986,0.00012875,0.00012875,0.00012875
77,91.2399,0.69761,1.58173,1.55336,1.13454,0.90735,0.85069,0.92838,0.69706,0.90735,0.85069,0.93333,0.6147,0.96043,1.14342,1.11102,1.40925,0.0001238,0.0001238,0.0001238
78,92.6126,0.6587,1.76336,1.57093,1.13174,0.93086,0.88194,0.92912,0.69694,0.93086,0.88194,0.93553,0.61767,0.96323,1.12971,1.10483,1.40589,0.00011885,0.00011885,0.00011885
79,93.8672,0.67995,1.65943,1.51067,1.14266,0.93086,0.88194,0.92912,0.69694,0.93086,0.88194,0.93553,0.61767,0.96323,1.12971,1.10483,1.40589,0.0001139,0.0001139,0.0001139
80,95.0767,0.70053,1.66746,1.55263,1.17544,0.91994,0.88194,0.93058,0.69989,0.91994,0.88194,0.92169,0.62622,0.95768,1.12337,1.10194,1.39934,0.00010895,0.00010895,0.00010895
81,96.1764,0.6568,1.62655,1.47702,1.0998,0.93394,0.88194,0.93926,0.6974,0.93394,0.88194,0.93926,0.62806,0.96229,1.12108,1.08748,1.40309,0.000104,0.000104,0.000104
82,97.4889,0.67469,1.59167,1.5074,1.14781,0.92753,0.88194,0.92971,0.69496,0.92753,0.88194,0.93796,0.62068,0.97538,1.11376,1.10404,1.40342,9.905e-05,9.905e-05,9.905e-05
83,98.6494,0.67204,1.68759,1.53467,1.0999,0.92644,0.88194,0.92785,0.69695,0.92644,0.88194,0.93231,0.61171,0.96718,1.10458,1.1077,1.40367,9.41e-05,9.41e-05,9.41e-05
84,99.9296,0.69891,1.73175,1.52299,1.11872,0.93542,0.88194,0.94474,0.70235,0.93542,0.88194,0.93369,0.61508,0.9727,1.11425,1.09424,1.4018,8.915e-05,8.915e-05,8.915e-05
85,101.598,0.63515,1.60747,1.44481,1.09942,0.92949,0.88194,0.93872,0.70229,0.92949,0.88194,0.92814,0.61759,0.96571,1.11459,1.10822,1.39638,8.42e-05,8.42e-05,8.42e-05
86,102.817,0.66951,1.59956,1.44291,1.10058,0.9345,0.88194,0.92762,0.69927,0.9345,0.88194,0.9382,0.61731,0.9623,1.11352,1.10897,1.39689,7.925e-05,7.925e-05,7.925e-05
87,104.268,0.6654,1.59134,1.4793,1.14248,0.9345,0.88194,0.92762,0.69927,0.9345,0.88194,0.9382,0.61731,0.9623,1.11352,1.10897,1.39689,7.43e-05,7.43e-05,7.43e-05
88,105.331,0.70258,1.66555,1.53398,1.17088,0.93532,0.88194,0.93161,0.70266,0.93532,0.88194,0.93161,0.62156,0.96155,1.1132,1.10515,1.39291,6.935e-05,6.935e-05,6.935e-05
89,106.618,0.66683,1.65194,1.55547,1.13129,0.93325,0.88194,0.93702,0.70755,0.93325,0.88194,0.94474,0.62935,0.95988,1.11745,1.09238,1.38883,6.44e-05,6.44e-05,6.44e-05
90,107.831,0.67112,1.67623,1.44902,1.13643,0.93711,0.88194,0.93731,0.71083,0.93711,0.88194,0.94144,0.62736,0.94622,1.11713,1.09153,1.38273,5.945e-05,5.945e-05,5.945e-05
91,108.968,0.67303,1.52175,1.46799,1.1486,0.93575,0.88194,0.93766,0.71504,0.93575,0.88194,0.94219,0.63045,0.9489,1.11016,1.09387,1.38308,5.45e-05,5.45e-05,5.45e-05
92,110.149,0.64096,1.63562,1.43548,1.09982,0.97329,0.87489,0.94836,0.71618,0.97329,0.87489,0.94966,0.62627,0.93773,1.11642,1.08685,1.37908,4.955e-05,4.955e-05,4.955e-05
93,111.365,0.67628,1.49618,1.43904,1.09037,0.93853,0.87565,0.93078,0.71244,0.93853,0.87565,0.9362,0.63503,0.94451,1.10687,1.10432,1.37943,4.46e-05,4.46e-05,4.46e-05
94,112.781,0.6514,1.49312,1.46452,1.11674,0.93796,0.88194,0.93264,0.71307,0.93796,0.88194,0.93264,0.63161,0.95099,1.11056,1.11185,1.38059,3.965e-05,3.965e-05,3.965e-05
95,113.991,0.68462,1.68474,1.51551,1.10898,0.93796,0.88194,0.93264,0.71307,0.93796,0.88194,0.93264,0.63161,0.95099,1.11056,1.11185,1.38059,3.47e-05,3.47e-05,3.47e-05
96,115.31,0.66381,1.54127,1.43651,1.11079,0.93803,0.88194,0.94144,0.71202,0.93803,0.88194,0.93319,0.64051,0.94778,1.10379,1.09305,1.37844,2.975e-05,2.975e-05,2.975e-05
97,116.71,0.6677,1.64264,1.46153,1.10938,0.9738,0.87799,0.94246,0.70786,0.9738,0.87799,0.94887,0.62462,0.94774,1.09724,1.09234,1.38322,2.48e-05,2.48e-05,2.48e-05
98,117.718,0.63964,1.64766,1.44055,1.09747,0.93983,0.88044,0.94021,0.71706,0.93983,0.88044,0.94619,0.64026,0.9399,1.11307,1.06776,1.37903,1.985e-05,1.985e-05,1.985e-05
99,119.258,0.63676,1.63536,1.47354,1.08803,0.93885,0.8797,0.94021,0.71391,0.93885,0.8797,0.94619,0.645,0.94769,1.10774,1.07313,1.38287,1.49e-05,1.49e-05,1.49e-05
100,120.546,0.65264,1.63749,1.45192,1.11605,0.93581,0.89781,0.94176,0.71914,0.93581,0.89781,0.94569,0.6382,0.94516,1.1042,1.0775,1.38219,9.95e-06,9.95e-06,9.95e-06
